SYMBOL,SERIES,Adjusted_52_Week_High,52WH_Date,Adjusted_52_Week_Low,52WL_Date
ABCAPITAL,EQ,    394.40,23-JUN-2026,    243.00,31-JUL-2025
ABCOTS,EQ,    504.00,24-SEP-2025,    197.69,10-JUN-2026
ABDL,EQ,    696.80,04-NOV-2025,    382.10,23-MAR-2026
ABFRL,EQ,     94.95,22-SEP-2025,     53.51,30-MAR-2026
ABGSEC,EQ,    113.99,22-JUN-2026,    108.00,13-AUG-2025
ABINFRA,EQ,     23.56,23-FEB-2026,      8.82,11-JUN-2026
ABLBL,EQ,    175.00,23-JUN-2025,     87.91,30-MAR-2026
ABMINTLLTD,EQ,     78.21,02-JUL-2025,     34.00,02-FEB-2026
ABMKNO,EQ,    254.90,23-APR-2026,    197.00,12-JUN-2026
ABREL,EQ,   2460.50,01-JUL-2025,   1080.10,16-MAR-2026
ABSL10BANK,EQ,    214.42,04-MAR-2026,    150.00,30-MAR-2026
ABSLAMC,EQ,   1224.90,22-JUN-2026,    708.00,25-NOV-2025
ABSLBANETF,EQ,     64.94,17-FEB-2026,     50.97,02-APR-2026
ABSLLIQUID,EQ,   1044.99,10-FEB-2026,    999.56,06-APR-2026
ABSLMSCIN,EQ,     35.34,22-JUN-2026,     26.34,02-APR-2026
ABSLNN50ET,EQ,     76.54,22-JUN-2026,     63.02,02-APR-2026
ABSLPSE,EQ,     11.60,04-MAY-2026,      9.21,04-MAR-2026
ACC,EQ,   2028.80,11-JUL-2025,   1251.70,30-MAR-2026
ACCELYA,EQ,   1527.00,21-OCT-2025,   1012.40,30-MAR-2026
ACCURACY,EQ,      9.61,24-JUN-2025,      3.40,27-MAR-2026
ACE,EQ,   1236.00,30-JUN-2025,    745.10,30-MAR-2026
ACEINTEG,EQ,     29.94,10-SEP-2025,     14.20,30-MAR-2026
ACI,EQ,    727.60,13-AUG-2025,    483.00,12-DEC-2025
ACL,EQ,    109.99,08-SEP-2025,     40.50,30-MAR-2026
ACMESOLAR,EQ,    364.80,08-JUN-2026,    195.90,27-JAN-2026
ACSTECH,EQ,     42.20,23-APR-2026,     31.71,04-JUN-2026
ACUTAAS,EQ,   3444.30,08-JUN-2026,   1059.00,26-JUN-2025
ADANIENSOL,EQ,   1614.80,08-JUN-2026,    744.90,05-SEP-2025
ADANIENT,EQ,   3091.70,23-JUN-2026,   1753.00,30-MAR-2026
ADANIGREEN,EQ,   1557.00,23-JUN-2026,    765.00,23-JAN-2026
ADANIPORTS,EQ,   1857.80,10-JUN-2026,   1290.50,14-AUG-2025
ADANIPOWER,EQ,    254.20,29-MAY-2026,    105.65,23-JUN-2025
ADFFOODS,EQ,    320.00,22-JUN-2026,    153.10,27-MAR-2026
ADL,EQ,    109.90,10-OCT-2025,     50.26,30-MAR-2026
ADOR,EQ,   1262.90,22-JUN-2026,    848.00,07-APR-2026
ADROITINFO,EQ,     12.20,19-SEP-2025,      7.55,30-MAR-2026
ADSL,EQ,    209.53,17-SEP-2025,     86.27,30-MAR-2026
ADVAIT,EQ,   2485.00,17-JUN-2026,   1351.00,27-JAN-2026
ADVANCE,EQ,    154.00,27-OCT-2025,     84.10,30-MAR-2026
ADVANIHOTR,EQ,     68.39,21-AUG-2025,     47.00,30-MAR-2026
ADVENTHTL,EQ,    345.05,14-NOV-2025,    120.02,11-JUN-2026
ADVENZYMES,EQ,    419.00,11-MAY-2026,    251.95,30-MAR-2026
AEGISLOG,EQ,   1093.55,22-JUN-2026,    576.10,23-MAR-2026
AEGISVOPAK,EQ,    302.00,18-JUL-2025,    158.00,30-MAR-2026
AEPL,EQ,     20.25,10-APR-2026,     13.25,30-MAR-2026
AEQUS,EQ,    241.40,23-JUN-2026,    113.30,16-MAR-2026
AEROENTER,EQ,    149.55,23-JUN-2026,     62.20,23-MAR-2026
AEROFLEX,EQ,    521.90,22-JUN-2026,    158.00,23-JAN-2026
AERONEU,EQ,    125.37,10-SEP-2025,     63.21,19-MAR-2026
AETHER,EQ,   1275.10,04-MAY-2026,    726.45,19-SEP-2025
AFCONS,EQ,    479.40,10-OCT-2025,    265.80,23-MAR-2026
AFFLE,EQ,   2185.90,22-SEP-2025,   1251.30,23-MAR-2026
AFSL,EQ,    267.59,25-JUN-2025,    194.41,13-OCT-2025
AGARIND,EQ,   1006.00,24-SEP-2025,    360.00,30-APR-2026
AGARWALEYE,EQ,    568.00,16-OCT-2025,    385.35,23-JUN-2025
AGI,EQ,   1009.00,23-JUL-2025,    465.00,30-MAR-2026
AGIIL,EQ,    434.40,04-MAY-2026,    177.30,23-JUN-2025
AGROPHOS,EQ,     47.60,31-JUL-2025,     23.90,30-MAR-2026
AHCL,EQ,     17.28,28-NOV-2025,      9.08,03-SEP-2025
AHLADA,EQ,     74.85,23-JUN-2025,     31.22,30-MAR-2026
AHLEAST,EQ,    175.30,23-APR-2026,    127.25,21-JAN-2026
AHLUCONT,EQ,   1125.00,15-JUL-2025,    645.15,30-MAR-2026
AIAENG,EQ,   5060.00,23-JUN-2026,   3001.10,28-AUG-2025
AIIL,EQ,    683.00,13-JAN-2026,    400.00,09-MAR-2026
AIRAN,EQ,     32.55,02-JUL-2025,     12.63,30-MAR-2026
AIROLAM,EQ,    126.59,10-JUL-2025,     78.00,04-JUN-2026
AJANTPHARM,EQ,   3314.90,19-MAY-2026,   2329.90,30-SEP-2025
AJAXENGG,EQ,    730.10,14-AUG-2025,    394.80,30-MAR-2026
AJMERA,EQ,    221.40,03-NOV-2025,     98.03,30-MAR-2026
AJOONI,EQ,      6.60,24-JUN-2025,      3.40,08-JUN-2026
AKASH,EQ,     36.00,18-SEP-2025,     22.80,30-MAR-2026
AKCAPIT,EQ,   1832.90,22-JUN-2026,   1484.90,23-APR-2026
AKG,EQ,     16.82,04-JUL-2025,      9.08,30-MAR-2026
AKI,EQ,     16.05,11-JUL-2025,      3.80,27-MAR-2026
AKSHAR,EQ,       .76,13-OCT-2025,       .36,09-MAR-2026
AKSHARCHEM,EQ,    330.80,28-AUG-2025,    141.30,30-MAR-2026
AKUMS,EQ,    635.00,15-JUN-2026,    409.30,21-JAN-2026
ALANKIT,EQ,     18.08,11-JUL-2025,      6.80,30-MAR-2026
ALBERTDAVD,EQ,    957.50,07-JUL-2025,    579.90,30-MAR-2026
ALEMBICLTD,EQ,    125.54,30-JUN-2025,     70.46,30-MAR-2026
ALGOQUANT,EQ,     71.01,06-JAN-2026,     47.80,23-MAR-2026
ALICON,EQ,   1022.00,27-OCT-2025,    580.00,30-MAR-2026
ALIVUS,EQ,   1148.40,11-MAY-2026,    819.00,22-JAN-2026
ALKEM,EQ,   5933.50,13-JAN-2026,   4716.20,10-JUL-2025
ALKYLAMINE,EQ,   2438.80,07-JUL-2025,   1212.00,17-MAR-2026
ALLCARGO,EQ,     38.34,17-JUL-2025,      7.11,30-MAR-2026
ALLDIGI,EQ,   1084.00,06-AUG-2025,    700.00,30-MAR-2026
ALLTIME,EQ,    334.90,25-AUG-2025,    186.00,30-MAR-2026
ALMONDZ,EQ,     26.60,02-JUL-2025,     10.68,30-MAR-2026
ALOKINDS,EQ,     23.50,08-JUL-2025,     11.11,30-MAR-2026
ALPA,EQ,    108.30,03-JUL-2025,     46.10,30-MAR-2026
ALPHA,EQ,     53.60,04-MAR-2026,     42.00,30-MAR-2026
ALPHAETF,EQ,     27.00,23-JUN-2026,     21.80,02-APR-2026
ALPHAGEO,EQ,    298.00,16-JUL-2025,    164.80,30-MAR-2026
ALPL30IETF,EQ,     28.72,30-OCT-2025,     24.35,02-APR-2026
AMAGI,EQ,    557.95,23-JUN-2026,    310.20,07-APR-2026
AMBALALSA,EQ,     38.50,02-JUN-2026,     30.30,06-MAY-2026
AMBER,EQ,   8974.00,07-MAY-2026,   5400.50,27-JAN-2026
AMBICAAGAR,EQ,     30.80,05-AUG-2025,     20.00,23-MAR-2026
AMBIKCO,EQ,   1750.00,26-MAY-2026,   1101.00,21-JAN-2026
AMBUJACEM,EQ,    624.95,22-JUL-2025,    394.00,23-MAR-2026
AMDIND,EQ,     68.07,22-SEP-2025,     33.77,02-APR-2026
AMIRCHAND,EQ,    200.00,02-APR-2026,    117.02,15-APR-2026
AMJLAND,EQ,     67.26,30-JUN-2025,     30.30,30-MAR-2026
AMNPLST,EQ,    263.79,09-JUL-2025,    127.00,30-MAR-2026
AMRUTANJAN,EQ,    790.95,08-SEP-2025,    486.00,30-MAR-2026
ANANDRATHI,EQ,   1953.60,22-JUN-2026,   1010.00,27-JUN-2025
ANANTRAJ,EQ,    743.65,07-OCT-2025,    403.00,30-MAR-2026
ANDHRAPAP,EQ,     90.00,04-JUL-2025,     58.00,30-MAR-2026
ANDHRSUGAR,EQ,    107.23,06-MAY-2026,     66.50,21-JAN-2026
ANGELONE,EQ,    360.45,19-JUN-2026,    208.63,13-MAR-2026
ANMOL,EQ,     18.35,07-JUL-2025,      8.40,01-APR-2026
ANTELOPUS,EQ,    933.65,08-JUN-2026,    357.00,13-JAN-2026
ANTGRAPHIC,EQ,      1.40,26-JUN-2025,       .64,30-MAR-2026
ANTHEM,EQ,    873.50,18-SEP-2025,    579.15,02-FEB-2026
ANUHPHR,EQ,    114.84,08-JUL-2025,     67.00,30-MAR-2026
ANUP,EQ,   2954.90,09-JUL-2025,   1422.30,09-MAR-2026
ANURAS,EQ,   1415.00,07-MAY-2026,   1045.20,30-SEP-2025
AONEGOLD,EQ,     17.73,29-JAN-2026,     10.00,10-SEP-2025
AONELIQUID,EQ,   1094.59,08-JUN-2026,    983.60,27-JUN-2025
AONENIFTY,EQ,     11.06,06-JAN-2026,      9.00,15-APR-2026
AONESILVER,EQ,     12.00,02-MAR-2026,      7.68,23-MAR-2026
AONETMMQ50,EQ,     10.87,25-MAY-2026,      8.00,04-MAR-2026
AONETOTAL,EQ,     12.51,06-JAN-2026,      9.60,06-APR-2026
APARINDS,EQ,  16750.00,23-JUN-2026,   6801.00,21-JAN-2026
APCL,EQ,    155.00,30-JUL-2025,     98.35,30-MAR-2026
APCOTEXIND,EQ,    579.00,15-JUN-2026,    310.45,30-MAR-2026
APEX,EQ,    514.50,21-APR-2026,    208.74,01-SEP-2025
APLAPOLLO,EQ,   2301.40,12-FEB-2026,   1492.00,28-JUL-2025
APLLTD,EQ,   1107.90,30-JUN-2025,    635.80,23-MAR-2026
APOLLO,EQ,    446.90,03-JUN-2026,    162.34,28-JUL-2025
APOLLOHOSP,EQ,   8624.00,10-JUN-2026,   6696.50,23-JAN-2026
APOLLOPIPE,EQ,    554.00,21-MAY-2026,    252.10,21-JAN-2026
APOLLOTYRE,EQ,    540.50,14-NOV-2025,    365.30,20-MAY-2026
APOLSINHOT,EQ,   1605.00,15-JUL-2025,    950.00,30-MAR-2026
APTUS,EQ,    364.00,18-AUG-2025,    193.03,30-MAR-2026
AQYLON,EQ,    224.70,21-JAN-2026,     39.26,08-APR-2026
ARCHIDPLY,EQ,    120.40,28-JUL-2025,     60.00,30-MAR-2026
ARCHIES,EQ,     24.47,30-JUN-2025,     10.86,30-MAR-2026
ARE&M,EQ,   1057.85,16-SEP-2025,    670.00,30-MAR-2026
ARENTERP,EQ,     62.99,04-JUL-2025,     30.01,30-MAR-2026
ARFIN,EQ,    106.20,12-MAY-2026,     31.43,29-JUL-2025
ARIES,EQ,    459.90,25-AUG-2025,    285.35,20-JAN-2026
ARIHANT,EQ,   1100.00,20-APR-2026,    715.10,01-JUN-2026
ARIHANTCAP,EQ,    120.00,24-OCT-2025,     56.97,30-MAR-2026
ARIHANTSUP,EQ,    465.00,07-OCT-2025,    188.80,30-MAR-2026
ARIS,EQ,    208.50,25-JUN-2025,     82.18,09-FEB-2026
ARKADE,EQ,    213.69,18-JUL-2025,     92.62,30-MAR-2026
ARMANFIN,EQ,   1906.60,12-MAY-2026,   1270.00,14-AUG-2025
AROGRANITE,EQ,     45.63,19-SEP-2025,     18.67,30-MAR-2026
ARSSBL,EQ,    794.85,18-NOV-2025,    416.00,30-MAR-2026
ARTEMISMED,EQ,    297.50,18-NOV-2025,    203.35,30-MAR-2026
ARTNIRMAN,EQ,     66.97,27-OCT-2025,     29.39,30-MAR-2026
ARVEE,EQ,    290.78,19-DEC-2025,    129.11,30-MAR-2026
ARVIND,EQ,    527.85,23-JUN-2026,    274.80,28-AUG-2025
ARVINDFASN,EQ,    579.00,17-SEP-2025,    366.20,30-MAR-2026
ARVSMART,EQ,    692.10,30-JUN-2025,    486.80,09-MAR-2026
ASAHIINDIA,EQ,   1074.00,01-DEC-2025,    688.30,24-JUN-2025
ASAHISONG,EQ,    453.70,29-JUL-2025,    179.64,13-MAR-2026
ASAL,EQ,    654.65,26-SEP-2025,    374.50,30-MAR-2026
ASALCBR,EQ,   1277.00,03-NOV-2025,    660.65,30-MAR-2026
ASHAPURMIN,EQ,    924.90,07-JAN-2026,    405.80,23-JUN-2025
ASHIANA,EQ,    405.00,22-JUN-2026,    269.45,11-NOV-2025
ASHIKA,EQ,    413.10,17-JUN-2026,    339.95,01-JUN-2026
ASHIMASYN,EQ,     30.88,03-JUL-2025,     11.50,27-MAR-2026
ASHOKA,EQ,    218.44,01-JUL-2025,    101.00,30-MAR-2026
ASHOKAMET,EQ,     21.00,19-SEP-2025,     12.13,30-MAR-2026
ASHOKLEY,EQ,    215.42,11-FEB-2026,    114.96,11-AUG-2025
ASIANENE,EQ,    392.00,09-JUN-2026,    230.00,22-JAN-2026
ASIANHOTNR,EQ,    381.00,07-JUL-2025,    247.50,13-FEB-2026
ASIANPAINT,EQ,   2985.70,04-DEC-2025,   2115.00,23-MAR-2026
ASIANTILES,EQ,     79.06,21-APR-2026,     54.10,23-JUN-2026
ASKAUTOLTD,EQ,    578.50,24-SEP-2025,    375.30,09-MAR-2026
ASPINWALL,EQ,    315.00,24-JUL-2025,    200.25,23-MAR-2026
ASTAR,EQ,    723.00,13-MAY-2026,    555.05,21-APR-2026
ASTEC,EQ,    988.51,26-JUN-2025,    513.40,23-MAR-2026
ASTERDM,EQ,    836.50,12-JUN-2026,    519.10,04-FEB-2026
ASTRAL,EQ,   1768.70,11-MAR-2026,   1263.70,12-AUG-2025
ASTRAMICRO,EQ,   1735.50,19-JUN-2026,    851.00,30-MAR-2026
ASTRAZEN,EQ,   9849.50,03-NOV-2025,   7551.50,06-APR-2026
ATALREAL,EQ,     32.00,17-JUN-2026,     17.75,02-SEP-2025
ATAM,EQ,    114.20,30-JUN-2025,     48.50,30-MAR-2026
ATGL,EQ,    859.85,29-MAY-2026,    462.80,09-MAR-2026
ATHERENERG,EQ,   1069.00,08-JUN-2026,    314.40,23-JUN-2025
ATL,EQ,     37.86,25-SEP-2025,     18.20,30-MAR-2026
ATLANTAA,EQ,     73.39,07-OCT-2025,     29.41,29-AUG-2025
ATLANTAELE,EQ,   2152.60,04-JUN-2026,    707.60,27-JAN-2026
ATLASCYCLE,EQ,    144.60,02-JUL-2025,     76.15,23-MAR-2026
ATUL,EQ,   7788.00,07-JUL-2025,   5560.50,21-JAN-2026
ATULAUTO,EQ,    554.00,05-SEP-2025,    380.05,30-MAR-2026
AUBANK,EQ,   1079.55,24-APR-2026,    682.15,05-SEP-2025
AURIGROW,EQ,      1.00,24-DEC-2025,       .20,10-MAR-2026
AURIONPRO,EQ,   1665.90,16-JUL-2025,    719.60,30-MAR-2026
AUROPHARMA,EQ,   1550.00,21-MAY-2026,   1016.10,01-SEP-2025
AURUM,EQ,    225.70,23-JUL-2025,    151.90,30-MAR-2026
AUTOAXLES,EQ,   2115.00,04-FEB-2026,   1540.20,30-MAR-2026
AUTOBEES,EQ,    299.92,06-JAN-2026,    238.10,23-JUN-2025
AUTOIETF,EQ,     30.50,07-JAN-2026,     23.56,23-JUN-2025
AVALON,EQ,   1807.00,23-JUN-2026,    777.30,29-JAN-2026
AVANTEL,EQ,    215.00,10-OCT-2025,    117.05,23-MAR-2026
AVANTIFEED,EQ,   1593.80,21-APR-2026,    614.25,28-AUG-2025
AVG,EQ,    302.86,30-JUN-2025,    113.26,02-APR-2026
AVL,EQ,    648.05,22-JUN-2026,    351.00,23-JUN-2025
AVONMORE,EQ,     23.90,10-SEP-2025,      9.51,08-JUN-2026
AVROIND,EQ,     18.80,01-JUL-2025,      9.88,16-JUN-2026
AVTNPL,EQ,     83.80,13-AUG-2025,     53.50,30-MAR-2026
AWFIS,EQ,    671.60,24-JUN-2025,    229.05,30-MAR-2026
AWHCL,EQ,    693.00,03-JUL-2025,    372.50,30-MAR-2026
AWL,EQ,    286.00,18-JUL-2025,    171.19,16-MAR-2026
AXISBANK,EQ,   1418.30,03-FEB-2026,   1042.50,29-AUG-2025
AXISBNKETF,EQ,    647.82,19-FEB-2026,    512.51,02-APR-2026
AXISCADES,EQ,   2211.00,11-MAY-2026,   1063.30,22-JAN-2026
AXISCETF,EQ,    131.85,23-OCT-2025,    105.63,02-APR-2026
AXISGOLD,EQ,    150.00,29-JAN-2026,     79.33,30-JUN-2025
AXISHCETF,EQ,    164.17,23-JUN-2026,    135.20,01-APR-2026
AXISILVER,EQ,    390.01,29-JAN-2026,    103.12,30-JUN-2025
AXISNIFTY,EQ,    296.38,07-JAN-2026,    244.00,02-APR-2026
AXISTECETF,EQ,    439.67,24-DEC-2025,    294.02,19-JUN-2026
AXISVALUE,EQ,     39.00,18-JUN-2026,     22.84,21-AUG-2025
AXITA,EQ,     12.20,31-DEC-2025,      6.57,10-JUN-2026
AXSENSEX,EQ,     91.35,02-DEC-2025,     73.52,02-APR-2026
AYE,EQ,    173.00,17-JUN-2026,     88.22,02-APR-2026
AYMSYNTEX,EQ,    261.51,23-JUN-2025,    141.53,20-JAN-2026
AZAD,EQ,   2350.00,08-MAY-2026,   1360.00,23-MAR-2026
BAGFILMS,EQ,      8.00,23-OCT-2025,      3.61,30-MAR-2026
BAIDFIN,EQ,     13.96,17-JUL-2025,      8.80,30-MAR-2026
BAJAJ-AUTO,EQ,  10834.00,27-MAY-2026,   7858.50,07-AUG-2025
BAJAJCON,EQ,    632.60,19-JUN-2026,    168.27,23-JUN-2025
BAJAJELEC,EQ,    711.00,04-JUL-2025,    301.00,11-JUN-2026
BAJAJFINSV,EQ,   2195.00,23-OCT-2025,   1597.00,02-APR-2026
BAJAJHCARE,EQ,    552.60,15-JUL-2025,    272.35,18-MAY-2026
BAJAJHFL,EQ,    124.00,17-JUL-2025,     72.65,30-MAR-2026
BAJAJHIND,EQ,     29.64,09-JUL-2025,     14.85,25-FEB-2026
BAJAJHLDNG,EQ,  14763.00,18-AUG-2025,   8588.00,02-APR-2026
BAJAJINDEF,EQ,    580.25,04-JUL-2025,    207.25,27-MAR-2026
BAJAJST,EQ,    507.80,20-APR-2026,    350.05,12-JUN-2026
BAJEL,EQ,    263.90,18-JUL-2025,    135.10,30-MAR-2026
BAJFINANCE,EQ,   1102.50,23-OCT-2025,    787.90,23-MAR-2026
BALAJEE,EQ,     59.90,01-SEP-2025,     21.10,30-MAR-2026
BALAJITELE,EQ,    141.32,26-SEP-2025,     69.52,30-MAR-2026
BALAMINES,EQ,   2288.00,18-JUN-2026,    968.10,30-MAR-2026
BALKRISHNA,EQ,     25.97,25-SEP-2025,     12.00,10-MAR-2026
BALKRISIND,EQ,   2801.30,22-JUL-2025,   1970.00,11-JUN-2026
BALMLAWRIE,EQ,    238.20,15-SEP-2025,    148.36,30-MAR-2026
BALPHARMA,EQ,    104.50,04-JUL-2025,     60.00,30-MAR-2026
BALRAMCHIN,EQ,    627.80,16-JUL-2025,    393.55,21-JAN-2026
BALUFORGE,EQ,    719.00,01-JUL-2025,    341.05,29-JAN-2026
BANARBEADS,EQ,    164.70,30-OCT-2025,     96.05,10-JUN-2026
BANARISUG,EQ,   4022.60,30-JUN-2025,   3105.20,06-OCT-2025
BANCOINDIA,EQ,    879.80,06-OCT-2025,    502.00,30-MAR-2026
BANDHANBNK,EQ,    218.13,16-JUN-2026,    134.25,09-DEC-2025
BANG,EQ,     64.01,30-JUN-2025,     26.61,30-MAR-2026
BANK10ADD,EQ,     18.99,25-MAY-2026,     12.08,02-APR-2026
BANKADD,EQ,     62.90,18-FEB-2026,     51.01,02-APR-2026
BANKBARODA,EQ,    325.50,26-FEB-2026,    230.81,29-AUG-2025
BANKBEES,EQ,    638.99,19-FEB-2026,    515.98,02-APR-2026
BANKBETA,EQ,     73.70,17-FEB-2026,     51.30,02-APR-2026
BANKBETF,EQ,     62.46,18-FEB-2026,     50.71,02-APR-2026
BANKETF,EQ,    628.27,19-FEB-2026,    507.01,02-APR-2026
BANKIETF,EQ,     63.90,17-FEB-2026,     51.17,02-APR-2026
BANKINDIA,EQ,    178.36,27-FEB-2026,    108.81,01-AUG-2025
BANKNIFTY1,EQ,     65.29,18-FEB-2026,     51.71,02-APR-2026
BANKPSU,EQ,     99.52,27-FEB-2026,     67.59,29-AUG-2025
BANSALWIRE,EQ,    434.30,22-JUL-2025,    222.50,30-MAR-2026
BANSWRAS,EQ,    165.49,04-JUL-2025,     93.73,30-MAR-2026
BASF,EQ,   5260.00,18-JUL-2025,   3122.20,23-MAR-2026
BASML,EQ,     37.05,26-JUN-2025,     17.05,30-MAR-2026
BATAINDIA,EQ,   1284.90,10-JUL-2025,    605.00,30-MAR-2026
BATLIBOI,EQ,     97.45,23-JUN-2026,     71.21,08-JUN-2026
BAYERCROP,EQ,   6511.00,07-JUL-2025,   4150.00,22-JUN-2026
BBETF0432,EQ,   1346.89,09-JAN-2026,   1262.29,08-SEP-2025
BBL,EQ,   3411.00,16-OCT-2025,   2051.70,30-MAR-2026
BBNPNBETF,EQ,     62.77,25-FEB-2026,     50.03,30-MAR-2026
BBNPPGOLD,EQ,    184.05,29-JAN-2026,     93.25,30-JUN-2025
BBOX,EQ,   1103.00,05-JUN-2026,    435.05,05-SEP-2025
BBTC,EQ,   2135.00,23-OCT-2025,   1314.60,30-MAR-2026
BBTCL,EQ,    240.00,09-JUN-2026,    150.00,26-JUN-2025
BCG,EQ,     22.00,14-JUL-2025,      7.97,24-MAR-2026
BCLIND,EQ,     49.30,22-JUL-2025,     25.53,23-MAR-2026
BCONCEPTS,EQ,    449.00,24-SEP-2025,    171.00,17-JUN-2026
BCPL,EQ,     92.00,04-MAY-2026,     60.00,27-MAR-2026
BDL,EQ,   2013.50,04-JUL-2025,   1086.00,30-MAR-2026
BEARDSELL,EQ,     38.60,25-SEP-2025,     20.02,01-APR-2026
BECTORFOOD,EQ,    313.82,23-JUL-2025,    168.60,08-JUN-2026
BEDMUTHA,EQ,    164.90,06-AUG-2025,     94.55,01-APR-2026
BEEKAY,EQ,    471.85,29-APR-2026,    355.05,20-APR-2026
BEL,EQ,    473.45,06-MAR-2026,    361.20,28-AUG-2025
BELLACASA,EQ,    497.35,15-OCT-2025,    220.25,30-MAR-2026
BELRISE,EQ,    249.59,22-JUN-2026,     97.72,24-JUN-2025
BEML,EQ,   2437.40,23-JUN-2025,   1355.00,30-MAR-2026
BENGALASM,EQ,   7268.00,05-JUN-2026,   5845.85,20-APR-2026
BEPL,EQ,    119.44,30-JUN-2025,     74.20,09-MAR-2026
BERGEPAINT,EQ,    605.00,03-JUL-2025,    391.10,16-MAR-2026
BESTAGRO,EQ,     35.58,04-AUG-2025,     12.30,30-MAR-2026
BETA,EQ,   2250.00,23-JUN-2026,    990.10,25-FEB-2026
BFINVEST,EQ,    528.00,23-SEP-2025,    315.00,30-MAR-2026
BFSI,EQ,     29.94,16-FEB-2026,     24.03,02-APR-2026
BFUTILITIE,EQ,    898.70,23-SEP-2025,    368.70,30-MAR-2026
BHAGCHEM,EQ,    325.00,31-JUL-2025,    170.60,30-MAR-2026
BHARATCOAL,EQ,     45.09,19-JAN-2026,     29.74,30-MAR-2026
BHARATFORG,EQ,   2158.50,23-JUN-2026,   1100.50,29-AUG-2025
BHARATGEAR,EQ,    154.20,29-SEP-2025,     83.80,30-MAR-2026
BHARATRAS,EQ,   3000.00,13-AUG-2025,   1203.00,30-MAR-2026
BHARATSE,EQ,    239.45,17-OCT-2025,     98.61,23-JUN-2025
BHARATWIRE,EQ,    262.00,11-MAY-2026,    148.01,30-MAR-2026
BHARTIARTL,EQ,   2174.50,21-NOV-2025,   1740.50,13-MAY-2026
BHARTIHEXA,EQ,   2052.90,01-JUL-2025,   1431.00,18-JUN-2026
BHEL,EQ,    424.90,29-MAY-2026,    205.12,29-AUG-2025
BI,EQ,     75.00,08-MAY-2026,     51.62,18-MAY-2026
BIGBLOC,EQ,     80.00,01-JAN-2026,     38.00,30-MAR-2026
BIKAJI,EQ,    818.70,04-SEP-2025,    592.55,16-MAR-2026
BIL,EQ,    984.75,23-JUL-2025,    602.00,21-JAN-2026
BIMETAL,EQ,    666.00,29-MAY-2026,    537.90,18-MAY-2026
BIOCON,EQ,    440.40,26-MAY-2026,    331.00,11-AUG-2025
BIOFILCHEM,EQ,     48.50,30-JUN-2025,     25.60,30-MAR-2026
BIRLACORPN,EQ,   1535.30,30-JUL-2025,    769.60,16-MAR-2026
BIRLAMONEY,EQ,    201.32,30-JUN-2025,     95.00,30-MAR-2026
BIRLANU,EQ,   2425.00,15-JUL-2025,   1190.10,30-MAR-2026
BIRLAPREC,EQ,     49.99,27-MAY-2026,     32.25,24-APR-2026
BLACKBUCK,EQ,    748.00,21-OCT-2025,    426.35,23-JUN-2025
BLACKROSE,EQ,    129.90,23-JUN-2026,     80.05,22-APR-2026
BLAL,EQ,    233.80,09-SEP-2025,    155.50,30-MAR-2026
BLBLIMITED,EQ,     22.47,23-FEB-2026,     12.00,13-JAN-2026
BLIL,EQ,     79.50,07-MAY-2026,     67.00,12-JUN-2026
BLISSGVS,EQ,    493.75,19-JUN-2026,    118.00,10-NOV-2025
BLKASHYAP,EQ,     80.01,31-JUL-2025,     40.32,30-MAR-2026
BLS,EQ,    414.90,07-AUG-2025,    218.90,23-MAR-2026
