"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 20-Mar-2026"
"SYMBOL","SERIES","Adjusted_52_Week_High","52_Week_High_Date","Adjusted_52_Week_Low","52_Week_Low_DT"
"WEIZMANIND","EQ","    133.80","26-MAY-2025","     73.75","19-MAR-2026"
"WEL","EQ","    190.50","26-MAY-2025","    123.15","30-SEP-2025"
"WELCORP","EQ","    994.00","10-JUN-2025","    664.30","07-APR-2025"
"WELENT","EQ","    580.00","28-OCT-2025","    425.00","07-APR-2025"
"WELINV","EQ","   1549.00","16-DEC-2025","    716.40","07-APR-2025"
"WELSPUNLIV","EQ","    154.57","12-MAY-2025","    104.80","07-APR-2025"
"WENDT","EQ","  12990.00","21-JUL-2025","   6240.00","09-MAR-2026"
"WESTLIFE","EQ","    819.20","09-JUL-2025","    426.85","16-MAR-2026"
"WEWIN","EQ","     77.80","15-OCT-2025","     36.52","18-MAR-2026"
"WEWORK","EQ","    664.00","03-NOV-2025","    421.00","09-MAR-2026"
"WHEELS","EQ","   1002.00","19-MAR-2026","    569.00","26-MAR-2025"
"WHIRLPOOL","EQ","   1473.80","23-JUL-2025","    756.85","02-FEB-2026"
"WHITEFORCE","SM","     94.80","13-AUG-2025","     28.25","16-MAR-2026"
