NAME OF COMPANY,TOTAL NO. OF ISSUED SHARES A+B+C,TOTAL PROMOTER HOLDING NO. OF SHARES (A),TOTAL PROMOTER HOLDING % A /(A+B+C),TOTAL PUBLIC HOLDING B,PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)],PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP,DISCLOSURE MADE BY PROMOTERS,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES,(%) PLEDGE / DEMAT,Values(Rs. Cr.),BROADCAST DATE
Emami Limited,436500000,239393412,54.84,197106588,26883449,11.23,6.16,,10/7/24 11:30,27184159,435630471,6.24,,10/7/24 11:30
Emami Paper Mills Limited,60499050,45358286,74.97,15140764,0,0,0,,10/7/24 11:30,1597056,60294797,2.65,,10/7/24 11:30
Emkay Global Financial Services Limited,24712676,18353984,74.27,6358692,0,0,0,,10/7/24 11:30,810891,24834005,3.27,,10/7/24 11:30
Emmbi Industries Limited,17690250,10584753,59.83,7105497,0,0,0,,10/7/24 11:30,362951,17690250,2.05,,10/7/24 11:30
Energy Development Company Limited,47500000,27616041,58.14,19883959,0,0,0,,10/7/24 11:30,437792,47474809,0.92,,10/7/24 11:30
Engineers India Limited,562042373,288458584,51.32,273583789,0,0,0,,10/7/24 11:30,39603807,561792801,7.05,,10/7/24 11:30
Entertainment Network (India) Limited,47670415,33918400,71.15,13752015,0,0,0,,10/7/24 11:30,1302600,47670173,2.73,,10/7/24 11:30
Eon Electric Limited,16902466,10437123,61.75,6465343,4098030,39.26,24.25,,10/7/24 11:30,1847575,16326314,11.32,,10/7/24 11:30
Epigral Limited,41550158,29743511,71.58,11806647,0,0,0,,10/7/24 11:30,1605296,41550158,3.86,,10/7/24 11:30
Equinox India Developments Limited,634930937,984534,0.16,633946403,0,0,0,,10/7/24 11:30,172216496,636469751,27.06,,10/7/24 11:30
Eris Lifesciences Limited,136075008,74683744,54.88,61391264,13823970,18.51,10.16,,10/7/24 11:30,16417263,136105792,12.06,,10/7/24 11:30
Eros International Media Limited,95914119,15589951,16.25,80324168,0,0,0,,10/7/24 11:30,6842921,95914018,7.13,,10/7/24 11:30
Esab India Limited,15393020,11347960,73.72,4045060,0,0,0,,10/7/24 11:30,166041,15294498,1.09,,10/7/24 11:30
Escorts Kubota Limited,110498261,76653377,69.37,33844884,0,0,0,,10/7/24 11:30,1685211,109808395,1.53,,10/7/24 11:30
Essar Shipping Limited,206976072,152647215,73.75,54328857,0,0,0,,10/7/24 11:30,1478980,204883881,0.72,,10/7/24 11:30
Ester Industries Limited,93954009,58683068,62.46,35270941,0,0,0,,10/7/24 11:30,2754301,93288359,2.95,,10/7/24 11:30
Euro Ceramics Limited,33737717,3404095,10.09,30333622,3403895,99.99,10.09,,10/7/24 11:30,4957322,31260115,15.86,,10/7/24 11:30
Euro Multivision Limited,23800049,11187563,47.01,12612486,0,0,0,,10/7/24 11:30,54873,23798559,0.23,,10/7/24 11:30
Eurotex Industries and Exports Limited,8749865,6211627,70.99,2538238,0,0,0,,10/7/24 11:30,320411,8573265,3.74,,10/7/24 11:30
Eveready Industries India Limited,72687260,31394425,43.19,41292835,4573,0.01,0.01,,10/7/24 11:30,9000929,72256270,12.46,,10/7/24 11:30
Everest Industries Limited,15794781,7933409,50.23,7861372,0,0,0,,10/7/24 11:30,514477,15719046,3.27,,10/7/24 11:30
Everest Kanto Cylinder Limited,112207682,75613143,67.39,36594539,0,0,0,,10/7/24 11:30,4648483,112206127,4.14,,10/7/24 11:30
Excel Industries Limited,12570692,6651991,52.92,5918701,2182,0.03,0.02,,10/7/24 11:30,417620,12464915,3.35,,10/7/24 11:30
Excel Realty N Infra Limited,1410695055,269711547,19.12,1140983508,0,0,0,,10/7/24 11:30,17576351,1407237255,1.25,,10/7/24 11:30
Exicom Tele-Systems Limited,120824501,84058008,69.57,36766493,2566585,3.05,2.12,,10/7/24 11:30,3406766,120824501,2.82,,10/7/24 11:30
Exide Industries Limited,850000000,390954666,45.99,459045334,0,0,0,,10/7/24 11:30,16397377,844798274,1.94,,10/7/24 11:30
Expleo Solutions Limited,15519739,11026058,71.05,4493681,0,0,0,,10/7/24 11:30,394174,15519739,2.54,,10/7/24 11:30
FCS Software Solutions Limited,1709553100,335962450,19.65,1373590650,0,0,0,,10/7/24 11:30,28506845,1709063256,1.67,,10/7/24 11:30
FDC Limited,162810084,113410433,69.66,49399651,0,0,0,,10/7/24 11:30,2464200,161564361,1.53,,10/7/24 11:30
Fedders Electric and Engineering Limited,30000000,30000000,100,0,0,0,0,,10/7/24 11:30,259283,33483328,0.77,,10/7/24 11:30
Federal-Mogul Goetze (India) Limited.,55632130,41715454,74.98,13916676,0,0,0,,10/7/24 11:30,3586654,55291380,6.49,,10/7/24 11:30
Fertilizers and Chemicals Travancore Limited,647071974,582364776,90,64707198,0,0,0,,10/7/24 11:30,1112362,644117369,0.17,,10/7/24 11:30
Fiem Industries Limited,26319660,15518314,58.96,10801346,0,0,0,,10/7/24 11:30,1035929,26319639,3.94,,10/7/24 11:30
Filatex India Limited,443855500,287434472,64.76,156421028,0,0,0,,10/7/24 11:30,37993638,443210924,8.57,,10/7/24 11:30
Finolex Cables Limited,152939345,54841170,35.86,98098175,0,0,0,,10/7/24 11:30,2158684,151993059,1.42,,10/7/24 11:30
Finolex Industries Limited,620476905,327731485,52.82,292745420,0,0,0,,10/7/24 11:30,13428832,607906855,2.21,,10/7/24 11:30
Firstsource Solutions Limited,696990826,383145528,54.97,313845298,0,0,0,,10/7/24 11:30,16668379,696989701,2.39,,10/7/24 11:30
Five-Star Business Finance Limited,292461000,77533460,26.51,214927540,200,0,0,,10/7/24 11:30,5631834,292022374,1.93,,10/7/24 11:30
Flexituff Ventures International Limited,30704082,10375219,33.79,20328863,6648720,64.08,21.65,,10/7/24 11:30,7200067,30704081,23.45,,10/7/24 11:30
Foods & Inns Limited,72993922,11683840,16.01,61310082,1188000,10.17,1.63,,10/7/24 11:30,11140631,72358538,15.4,,10/7/24 11:30
Fortis Healthcare Limited,754958148,235294117,31.17,519664031,0,0,0,,10/7/24 11:30,12504983,754818486,1.66,,10/7/24 11:30
Foseco India Limited,6386459,4788845,74.98,1597614,0,0,0,,10/7/24 11:30,44151,6354298,0.69,,10/7/24 11:30
Fusion Finance Limited,101023885,58673749,58.08,42350136,1620000,2.76,1.6,,10/7/24 11:30,6276058,101023885,6.21,,10/7/24 11:30
Future Consumer Limited,1997034643,72903744,3.65,1924130899,6341902,8.7,0.32,,10/7/24 11:30,45325185,1996882653,2.27,,10/7/24 11:30
Future Enterprises Limited,39374679,28436580,72.22,10938099,0,0,0,,10/7/24 11:30,502611,39332994,1.28,,10/7/24 11:30
Future Enterprises Limited,454930401,74467852,16.37,380462549,45750000,61.44,10.06,,10/7/24 11:30,52719690,454557458,11.6,,10/7/24 11:30
Future Lifestyle Fashions Limited,201774874,41331939,20.48,160442935,40968074,99.12,20.3,,10/7/24 11:30,38838119,201650074,19.26,,10/7/24 11:30
Future Market Networks Limited,57544381,37583410,65.31,19960971,36750000,97.78,63.86,,10/7/24 11:30,37261869,57504812,64.8,,10/7/24 11:30
Future Retail Limited,542284079,77590160,14.31,464693919,24162063,31.14,4.46,,10/7/24 11:30,15882027,541364580,2.93,,10/7/24 11:30
Future Supply Chain Solutions Limited,43883598,9633085,21.95,34250513,9632685,100,21.95,,10/7/24 11:30,390597,43883592,0.89,,10/7/24 11:30
GACM Technologies Limited,340287057,28131673,8.27,312155384,0,0,0,,10/7/24 11:30,24929818,680024754,3.67,,10/7/24 11:30
GACM Technologies Limited,59109227,96679,0.16,59012548,0,0,0,,10/7/24 11:30,6967533,117938111,5.91,,10/7/24 11:30
GAIL (India) Limited,6575099643,3437682772,52.28,3137416871,0,0,0,,10/7/24 11:30,54893212,6574817030,0.83,,10/7/24 11:30
GB Global Limited,50033143,50010601,99.95,22542,4,0,0,,10/7/24 11:30,0,0,0,,10/7/24 11:30
GE Power India Limited,67227471,46102083,68.58,21125388,0,0,0,,10/7/24 11:30,1478182,66728031,2.22,,10/7/24 11:30
GE T&D India Limited,256046535,192034901,75,64011634,0,0,0,,10/7/24 11:30,437558,254812992,0.17,,10/7/24 11:30
GFL Limited,109850000,75492611,68.72,34357389,0,0,0,,10/7/24 11:30,2266137,109304000,2.07,,10/7/24 11:30
GHCL Limited,95754786,18227869,19.04,77526917,200244,1.1,0.21,,10/7/24 11:30,9031642,94063937,9.6,,10/7/24 11:30
GIC Housing Finance Limited,53851066,22836839,42.41,31014227,0,0,0,,10/7/24 11:30,5554105,53642413,10.35,,10/7/24 11:30
GKW Limited,5966500,4474875,75,1491625,0,0,0,,10/7/24 11:30,71571,5862435,1.22,,10/7/24 11:30
GM Breweries Limited,22846923,17005152,74.43,5841771,0,0,0,,10/7/24 11:30,581940,22503733,2.59,,10/7/24 11:30
GMR Airports Infrastructure Limited,6035945275,3565669176,59.07,2470276099,2069313714,58.03,34.28,,10/7/24 11:30,2025987769,10558750465,19.19,,10/7/24 11:30
GNA Axles Limited,42930800,29263054,68.16,13667746,0,0,0,,10/7/24 11:30,775817,42930800,1.81,,10/7/24 11:30
GOCL Corporation Limited,49572490,36100791,72.82,13471699,0,0,0,,10/7/24 11:30,1841009,49316916,3.73,,10/7/24 11:30
GP Petroleums Limited,50984383,27246570,53.44,23737813,0,0,0,,10/7/24 11:30,1433604,50982436,2.81,,10/7/24 11:30
GPT Infraprojects Limited,58172000,43628120,75,14543880,29667720,68,51,,10/7/24 11:30,60681791,126364588,48.02,,10/7/24 11:30
GRP Limited,1333333,537398,40.3,795935,1000,0.19,0.08,,10/7/24 11:30,21421,5299248,0.4,,10/7/24 11:30
GSS Infotech Limited,26156843,3675652,14.05,22481191,0,0,0,,10/7/24 11:30,5356302,25806843,20.76,,10/7/24 11:30
GTL Infrastructure Limited,12807020947,420144016,3.28,12386876931,420144016,100,3.28,,10/7/24 11:30,201150541,12712597134,1.58,,10/7/24 11:30
GTL Limited,157296781,22480559,14.29,134816222,22000000,97.86,13.99,,10/7/24 11:30,5539598,157095116,3.53,,10/7/24 11:30
GTPL Hathway Limited,112463038,84347278,75,28115760,0,0,0,,10/7/24 11:30,4564048,112463038,4.06,,10/7/24 11:30
GVK Power & Infrastructure Limited,1579210400,856729340,54.25,722481060,0,0,0,,10/7/24 11:30,19760070,1577081524,1.25,,10/7/24 11:30
Gabriel India Limited,143643940,79004167,55,64639773,0,0,0,,10/7/24 11:30,2859165,142592590,2.01,,10/7/24 11:30
Galaxy Surfactants Limited,35454752,25142193,70.91,10312559,4000,0.02,0.01,,10/7/24 11:30,196584,35318052,0.56,,10/7/24 11:30
Gallantt Ispat Limited,241280945,166317810,68.93,74963135,510500,0.31,0.21,,10/7/24 11:30,5431966,241102175,2.25,,10/7/24 11:30
Gandhi Special Tubes Limited,12152000,8935257,73.53,3216743,0,0,0,,10/7/24 11:30,99095,11885305,0.83,,10/7/24 11:30
Ganesh Housing Corporation Limited,83387090,60922084,73.06,22465006,0,0,0,,10/7/24 11:30,2892662,83112943,3.48,,10/7/24 11:30
Ganesha Ecosphere Limited,25346984,9276207,36.6,16070777,0,0,0,,10/7/24 11:30,612571,25035870,2.45,,10/7/24 11:30
Gangotri Textiles Limited,32614634,8000457,24.53,24614177,5987593,74.84,18.36,,10/7/24 11:30,6198868,32210458,19.24,,10/7/24 11:30
Gayatri Highways Limited,239651900,146554710,61.15,93097190,133199035,90.89,55.58,,10/7/24 11:30,141417692,239649629,59.01,,10/7/24 11:30
Gayatri Projects Limited,187198685,7383985,3.94,179814700,0,0,0,,10/7/24 11:30,37905973,187198540,20.25,,10/7/24 11:30
GeeCee Ventures Limited,20911729,14159942,67.71,6751787,0,0,0,,10/7/24 11:30,418050,20912792,2,,10/7/24 11:30
Genesys International Corporation Limited,39598574,14990902,37.86,24607672,786046,5.24,1.99,,10/7/24 11:30,4741843,39616006,11.97,,10/7/24 11:30
Gensol Engineering Limited,37872897,23771251,62.77,14101646,18647052,78.44,49.24,,10/7/24 11:30,20097870,37872897,53.07,,10/7/24 11:30
Genus Paper & Boards Limited,257125940,129861678,50.51,127264262,26500000,20.41,10.31,,10/7/24 11:30,19968330,254732472,7.84,,10/7/24 11:30
Genus Power Infrastructures Limited,303754517,129594590,42.66,174159927,79831609,61.6,26.28,,10/7/24 11:30,24566614,302468355,8.12,,10/7/24 11:30
Geojit Financial Services Limited,239144482,130549930,54.59,108594552,0,0,0,,10/7/24 11:30,6397972,238993180,2.68,,10/7/24 11:30
Ghcl Textiles Limited,95585786,18309536,19.16,77276250,200244,1.09,0.21,,10/7/24 11:30,4187918,95585786,4.38,,10/7/24 11:30
Gillanders Arbuthnot & Company Limited,21342346,14743318,69.08,6599028,0,0,0,,10/7/24 11:30,272012,21049615,1.29,,10/7/24 11:30
Gillette India Limited,32585217,24437803,75,8147414,0,0,0,,10/7/24 11:30,968527,32534192,2.98,,10/7/24 11:30
Ginni Filaments Limited,85650065,59717283,69.72,25932782,10408300,17.43,12.15,,10/7/24 11:30,11927181,85154613,14.01,,10/7/24 11:30
Gitanjali Gems Limited,118616005,32926361,27.76,85689644,25866102,78.56,21.81,,10/7/24 11:30,25044158,118550246,21.13,,10/7/24 11:30
GlaxoSmithKline Pharmaceuticals Limited,169406034,127054524,75,42351510,0,0,0,,10/7/24 11:30,1556158,168101695,0.93,,10/7/24 11:30
Glenmark Life Sciences Limited,122527172,101513656,82.85,21013516,9609571,9.47,7.84,,10/7/24 11:30,1433006,122528672,1.17,,10/7/24 11:30
Glenmark Pharmaceuticals Limited,282188156,131628187,46.65,150559969,0,0,0,,10/7/24 11:30,2497582,281328022,0.89,,10/7/24 11:30
Global Vectra Helicorp Limited,14000000,10500000,75,3500000,0,0,0,,10/7/24 11:30,183599,13999951,1.31,,10/7/24 11:30
Globe Textiles (India) Limited,300279192,126435198,42.11,173843994,0,0,0,,10/7/24 11:30,11149972,300279192,3.71,,10/7/24 11:30
Globus Spirits Limited,28869050,14693920,50.9,14175130,0,0,0,,10/7/24 11:30,1835942,28868551,6.36,,10/7/24 11:30
Gmr Power And Urban Infra Limited,603594528,361116914,59.83,242477614,270250000,74.84,44.77,,10/7/24 11:30,170544633,714836184,23.86,,10/7/24 11:30
Go Fashion (India) Limited,54008984,28508648,52.79,25500336,4656200,16.33,8.62,,10/7/24 11:30,4743349,54008983,8.78,,10/7/24 11:30
Goa Carbon Limited,9151052,5464989,59.72,3686063,0,0,0,,10/7/24 11:30,436438,9009794,4.84,,10/7/24 11:30
Godawari Power And Ispat limited,135944988,86004908,63.26,49940080,0,0,0,,10/7/24 11:30,13681974,116240880,11.77,,10/7/24 11:30
Godfrey Phillips India Limited,51993920,37948840,72.99,14045080,0,0,0,,10/7/24 11:30,1067189,51611303,2.07,,10/7/24 11:30
Godha Cabcon & Insulation Limited,666240000,100800,0.02,666139200,0,0,0,,10/7/24 11:30,7686885,666240000,1.15,,10/7/24 11:30
Godrej Consumer Products Limited,1022820329,644442625,63.01,378377704,4263670,0.66,0.42,,10/7/24 11:30,2297218,1016785437,0.23,,10/7/24 11:30
Godrej Industries Limited,336690741,226126787,67.16,110563954,12708622,5.62,3.77,,10/7/24 11:30,2028911,336523437,0.6,,10/7/24 11:30
Godrej Properties Limited,278056965,162599633,58.48,115457332,0,0,0,,10/7/24 11:30,2106396,278047182,0.76,,10/7/24 11:30
Goenka Diamond and Jewels Limited,317000000,182429250,57.55,134570750,0,0,0,,10/7/24 11:30,6961064,316994515,2.2,,10/7/24 11:30
Gokaldas Exports Limited,71174795,6705348,9.42,64469447,0,0,0,,10/7/24 11:30,2295117,71407516,3.21,,10/7/24 11:30
Gokul Agro Resources Limited,147543358,108696974,73.67,38846384,15000000,13.8,10.17,,10/7/24 11:30,20528557,147537078,13.91,,10/7/24 11:30
Gokul Refoils and Solvent Limited,98995000,73874272,74.62,25120728,0,0,0,,10/7/24 11:30,379181,98989595,0.38,,10/7/24 11:30
Golden Tobacco Limited,17608802,5290099,30.04,12318703,0,0,0,,10/7/24 11:30,110020,16291058,0.68,,10/7/24 11:30
Goldiam International Limited,106795122,68622359,64.26,38172763,0,0,0,,10/7/24 11:30,4117597,106238912,3.88,,10/7/24 11:30
Goodluck India Limited,32738509,18262539,55.78,14475970,588000,3.22,1.8,,10/7/24 11:30,4000336,32623509,12.26,,10/7/24 11:30
Goyal Aluminiums Limited,142732780,99875409,69.97,42857371,14400,0.01,0.01,,10/7/24 11:30,1751543,142732780,1.23,,10/7/24 11:30
Granules India Limited,242368716,94203525,38.87,148165191,0,0,0,,10/7/24 11:30,9328293,242276466,3.85,,10/7/24 11:30
Graphite India Limited,195375594,127659645,65.34,67715949,0,0,0,,10/7/24 11:30,7557913,194472790,3.89,,10/7/24 11:30
Grasim Industries Limited,680550136,295084856,43.36,385465280,0,0,0,,10/7/24 11:30,16930442,654135028,2.59,,10/7/24 11:30
Gravita India Limited,69037914,44747814,64.82,24290100,0,0,0,,10/7/24 11:30,1673657,69034788,2.42,,10/7/24 11:30
Greaves Cotton Limited,232481586,129921455,55.88,102560131,0,0,0,,10/7/24 11:30,18720086,231155988,8.1,,10/7/24 11:30
Greenply Industries Limited,123739145,64354130,52.01,59385015,0,0,0,,10/7/24 11:30,3305535,123698715,2.67,,10/7/24 11:30
Grindwell Norton Limited,110720000,64254259,58.03,46465741,0,0,0,,10/7/24 11:30,586491,110317186,0.53,,10/7/24 11:30
Gufic Biosciences Limited,100277506,72708151,72.51,27569355,0,0,0,,10/7/24 11:30,4991595,100222506,4.98,,10/7/24 11:30
Gujarat Alkalies and Chemicals Limited,73436928,33986310,46.28,39450618,0,0,0,,10/7/24 11:30,4598333,72822941,6.31,,10/7/24 11:30
Gujarat Ambuja Exports Limited,458670660,292837968,63.84,165832692,0,0,0,,10/7/24 11:30,14701669,448145116,3.28,,10/7/24 11:30
Gujarat Apollo Industries Limited,11800000,6447669,54.64,5352331,0,0,0,,10/7/24 11:30,79318,11680266,0.68,,10/7/24 11:30
Gujarat Fluorochemicals Limited,109850000,68740906,62.58,41109094,2207160,3.21,2.01,,10/7/24 11:30,5196534,109151000,4.76,,10/7/24 11:30
Gujarat Industries Power Company Limited,151251188,83836161,55.43,67415027,0,0,0,,10/7/24 11:30,7255146,150627268,4.82,,10/7/24 11:30
Gujarat Lease Financing Limited,27125767,12387222,45.67,14738545,0,0,0,,10/7/24 11:30,139884,24478998,0.57,,10/7/24 11:30
Gujarat Mineral Development Corporation Limited,318000000,235320000,74,82680000,0,0,0,,10/7/24 11:30,19385216,317618166,6.1,,10/7/24 11:30
Gujarat Narmada Valley Fertilizers and Chemicals Limited,146940683,60693667,41.3,86247016,0,0,0,,10/7/24 11:30,6441419,142049069,4.53,,10/7/24 11:30
Gujarat Pipavav Port Limited,483439910,212738931,44.01,270700979,0,0,0,,10/7/24 11:30,28707322,483116665,5.94,,10/7/24 11:30
Gujarat Raffia Industries Limited,5404500,2137752,39.56,3266748,0,0,0,,10/7/24 11:30,5767,3298773,0.17,,10/7/24 11:30
Gujarat State Fertilizers & Chemicals Limited,398477530,150799905,37.84,247677625,0,0,0,,10/7/24 11:30,29379894,392608060,7.48,,10/7/24 11:30
Gujarat State Petronet Limited,564211376,212305270,37.63,351906106,0,0,0,,10/7/24 11:30,10404842,564196376,1.84,,10/7/24 11:30
Gulf Oil Lubricants India Limited,49195938,35300725,71.76,13895213,0,0,0,,10/7/24 11:30,704890,48985164,1.44,,10/7/24 11:30
HBL Power Systems Limited,277194946,163852309,59.11,113342637,0,0,0,,10/7/24 11:30,16814684,275066582,6.11,,10/7/24 11:30
HCL Infosystems Limited,329209928,207031161,62.89,122178767,0,0,0,,10/7/24 11:30,8399837,327416026,2.57,,10/7/24 11:30
HCL Technologies Limited,2713665096,1653923826,60.95,1059741270,,,,,10/7/24 11:30,8049358,2713063686,0.3,,10/7/24 11:30
HDFC Bank Limited,7630778309,1028411419,13.48,6602366890,0,0,0,,10/7/24 11:30,128941421,7623615579,1.69,,10/7/24 11:30
HEC Infra Projects Limited,10138160,7421500,73.2,2716660,0,0,0,,10/7/24 11:30,26299,10138160,0.26,,10/7/24 11:30
HEG Limited,38595506,21527974,55.78,17067532,0,0,0,,10/7/24 11:30,1365774,38291933,3.57,,10/7/24 11:30
HFCL Limited,1442672812,543719192,37.69,898953620,241548750,44.43,16.74,,10/7/24 11:30,205698685,1442203762,14.26,,10/7/24 11:30
HIL Limited,7540899,3059212,40.57,4481687,0,0,0,,10/7/24 11:30,254134,7505893,3.39,,10/7/24 11:30
HLV LIMITED,659259899,299065337,45.36,360194562,154000000,51.49,23.36,,10/7/24 11:30,86604302,655229433,13.22,,10/7/24 11:30
HMT Limited,1204091640,1128056626,93.69,76035014,,,,,10/7/24 11:30,467546,760228591,0.06,,10/7/24 11:30
HOV Services Limited,12594972,6349829,50.42,6245143,0,0,0,,10/7/24 11:30,233860,12527382,1.87,,10/7/24 11:30
HT Media Limited,232748314,163230200,70.13,69518114,0,0,0,,10/7/24 11:30,6055280,232736213,2.6,,10/7/24 11:30
Happiest Minds Technologies Limited,152274811,70065518,46.01,82209293,5483884,7.83,3.6,,10/7/24 11:30,14697565,152093037,9.66,,10/7/24 11:30
Harrisons  Malayalam Limited,18455405,9987898,54.12,8467507,0,0,0,,10/7/24 11:30,380970,18098872,2.1,,10/7/24 11:30
Hathway Cable & Datacom Limited,1770104500,1327578375,75,442526125,0,0,0,,10/7/24 11:30,54098538,1770104494,3.06,,10/7/24 11:30
Hatsun Agro Product Limited,222748268,162978112,73.17,59770156,6372745,3.91,2.86,,10/7/24 11:30,2207447,221952155,0.99,,10/7/24 11:30
Havells India Limited,626919070,372693960,59.45,254225110,0,0,0,,10/7/24 11:30,1920711,626239448,0.31,,10/7/24 11:30
Heads UP Ventures Limited,22082609,2994245,13.56,19088364,0,0,0,,10/7/24 11:30,652322,22081095,2.95,,10/7/24 11:30
Healthcare Global Enterprises Limited,139347942,99290105,71.25,40057837,3067000,3.09,2.2,,10/7/24 11:30,5110126,139004547,3.68,,10/7/24 11:30
HeidelbergCement India Limited,226613116,157244693,69.39,69368423,0,0,0,,10/7/24 11:30,2991719,225601482,1.33,,10/7/24 11:30
Hercules Hoists Limited,32000000,22275720,69.61,9724280,0,0,0,,10/7/24 11:30,868563,30332400,2.86,,10/7/24 11:30
Heritage Foods Limited,92796000,38327742,41.3,54468258,0,0,0,,10/7/24 11:30,3203077,92324132,3.47,,10/7/24 11:30
Hero MotoCorp Limited,199931110,69488181,34.76,130442929,0,0,0,,10/7/24 11:30,1213234,199225356,0.61,,10/7/24 11:30
Hester Biosciences Limited,8506865,4570944,53.73,3935921,0,0,0,,10/7/24 11:30,246803,8426372,2.93,,10/7/24 11:30
Heubach Colorants India Limited,23081798,12548811,54.37,10532987,0,0,0,,10/7/24 11:30,749880,22807888,3.29,,10/7/24 11:30
Hexa Tradex Limited,55244704,50895475,92.13,4349229,0,0,0,,10/7/24 11:30,177093,54951317,0.32,,10/7/24 11:30
Hi-Tech Pipes Limited,158356000,85438665,53.95,72917335,2296000,2.69,1.45,,10/7/24 11:30,10936715,176111000,6.21,,10/7/24 11:30
Hikal Limited,123300750,84892764,68.85,38407986,0,0,0,,10/7/24 11:30,3453658,123163538,2.8,,10/7/24 11:30
Hilton Metal Forging Limited,21000000,5810068,27.67,15189932,400000,6.88,1.9,,10/7/24 11:30,6448276,20999999,30.71,,10/7/24 11:30
Himadri Speciality Chemical Limited,493515134,247733674,50.2,245781460,0,0,0,,10/7/24 11:30,39489482,491574692,8.03,,10/7/24 11:30
Himatsingka Seide Limited,98457160,46834592,47.57,51622568,0,0,0,,10/7/24 11:30,7391031,98076617,7.54,,10/7/24 11:30
Hind Rectifiers Limited,17137860,7548856,44.05,9589004,0,0,0,,10/7/24 11:30,167422,14603327,1.15,,10/7/24 11:30
Hindalco Industries Limited,2247216523,788315617,35.08,1458900906,0,0,0,,10/7/24 11:30,14759713,2224730850,0.66,,10/7/24 11:30
Hinduja Global Solutions Limited,46520285,31627348,67.99,14892937,0,0,0,,10/7/24 11:30,737317,46461763,1.59,,10/7/24 11:30
Hindustan Composites Limited,14769000,11073030,74.97,3695970,0,0,0,,10/7/24 11:30,298960,14440475,2.07,,10/7/24 11:30
Hindustan Construction Company Limited,1679694910,312187628,18.59,1367507282,239919286,76.85,14.28,,10/7/24 11:30,459305991,1676114586,27.4,,10/7/24 11:30
Hindustan Copper Limited,967024020,639613373,66.14,327410647,0,0,0,,10/7/24 11:30,55056086,967003315,5.69,,10/7/24 11:30
Hindustan Media Ventures Limited,73671548,54965184,74.61,18706364,0,0,0,,10/7/24 11:30,6951116,73671539,9.44,,10/7/24 11:30
Hindustan Motors Limited,208659293,67473254,32.34,141186039,0,0,0,,10/7/24 11:30,4651503,202469700,2.3,,10/7/24 11:30
Hindustan Oil Exploration Company Limited,132243289,0,0,132243289,0,,0,,10/7/24 11:30,21585000,131452525,16.42,,10/7/24 11:30
Hindustan Petroleum Corporation Limited,1418548345,778845375,54.9,639702970,0,0,0,,10/7/24 11:30,31448001,2123658800,1.48,,10/7/24 11:30
Hindustan Unilever Limited,2349591262,1454412858,61.9,895178404,0,0,0,,10/7/24 11:30,10926333,2334329094,0.47,,10/7/24 11:30
Hindustan Zinc Limited,4225319000,2743154310,64.92,1482164690,2716710964,99.04,64.3,,10/7/24 11:30,453421683,4223456040,10.74,,10/7/24 11:30
Hindusthan National Glass & Industries Limited,89553565,63338840,70.73,26214725,61123840,96.5,68.25,,10/7/24 11:30,64912751,89549149,72.49,,10/7/24 11:30
Hitech Corporation Limited,17175700,12784480,74.43,4391220,0,0,0,,10/7/24 11:30,328296,16917898,1.94,,10/7/24 11:30
Honda India Power Products Limited,10143071,6762000,66.67,3381071,0,0,0,,10/7/24 11:30,149490,10059153,1.49,,10/7/24 11:30
Honeywell Automation India Limited,8841523,6631142,75,2210381,0,0,0,,10/7/24 11:30,77334,8812736,0.88,,10/7/24 11:30
Housing Development and Infrastructure Limited,454003986,178351266,39.28,275652720,0,0,0,,10/7/24 11:30,8403839,473965993,1.77,,10/7/24 11:30
Hubtown Limited,79935871,37251585,46.6,42684286,24658025,66.19,30.85,,10/7/24 11:30,24458347,79935854,30.6,,10/7/24 11:30
Huhtamaki India Limited,75521934,51153997,67.73,24367937,0,0,0,,10/7/24 11:30,5006593,75278791,6.65,,10/7/24 11:30
ICDS Limited,13026700,6694572,51.39,6332128,0,0,0,,10/7/24 11:30,12398,11173280,0.11,,10/7/24 11:30
ICICI Bank Limited,7036188396,1372728095,19.51,5663460301,0,0,0,,10/7/24 11:30,44142328,7035617072,0.63,,10/7/24 11:30
ICRA Limited,9651231,5037572,52.2,4613659,0,0,0,,10/7/24 11:30,49486,9651192,0.51,,10/7/24 11:30
ICSA (India) Limited,54154917,2983485,5.51,51171432,0,0,0,,10/7/24 11:30,4619908,47473453,9.73,,10/7/24 11:30
IDBI Bank Limited,10752402175,10183974842,94.71,568427333,0,0,0,,10/7/24 11:30,111149586,10746435940,1.03,,10/7/24 11:30
IDFC Limited,1599984436,0,0,1599984436,0,,0,,10/7/24 11:30,130450298,1599945140,8.15,,10/7/24 11:30
